/etc/tejas/mem_watch_output.txt is not created so creating it. starting at Tue Feb 17 16:39:36 IST 2015
Memory Changes in every 5m interval
MemTotal: MemFree: Buffers: Cached: SwapCached: Active: Inactive: SwapTotal: SwapFree: Dirty: Writeback: AnonPages: Mapped: Slab: SReclaimable: SUnreclaim: PageTables: NFS_Unstable: Bounce: WritebackTmp: CommitLimit: Committed_AS: VmallocTotal: VmallocUsed: VmallocChunk: 
509144 19032 45148 338876 0 266116 164676 0 0 468 0 46784 47500 51084 44276 6808 1412 0 0 0 254572 655444 768988 17460 751488 
509144 18264 45148 339596 0 266840 164676 0 0 1204 0 46788 47500 51100 44272 6828 1412 0 0 0 254572 655444 768988 17460 751488 
509144 15636 45148 339636 0 269648 164680 0 0 928 0 49560 47776 51124 44272 6852 1412 0 0 0 254572 658592 768988 17460 751488 
509144 19000 45148 336428 0 266300 164680 0 0 4 364 49420 47732 51128 44272 6856 1412 0 0 0 254572 658300 768988 17460 751488 
509144 16520 45148 338844 0 268740 164688 0 0 1196 0 49452 47732 51116 44276 6840 1412 0 0 0 254572 658300 768988 17460 751488 
509144 9808 45148 341052 0 275464 164692 0 0 1064 0 53972 47808 51216 44272 6944 1448 0 0 0 254572 664512 768988 17460 751488 
509144 17636 45148 339944 0 267524 164692 0 0 156 0 47140 47728 51312 44272 7040 1412 0 0 0 254572 655972 768988 17460 751488 
509144 15304 45148 342656 0 269880 164696 0 0 3268 0 46788 47500 51104 44276 6828 1412 0 0 0 254572 655444 768988 17460 751488 
509144 16652 45148 338656 0 268640 164696 0 0 1036 0 49548 47776 51112 44276 6836 1412 0 0 0 254572 658592 768988 17460 751488 
509144 20512 45148 337424 0 264640 164704 0 0 912 0 46788 47500 51092 44276 6816 1412 0 0 0 254572 655444 768988 17460 751488 
509144 16868 45148 341064 0 268280 164704 0 0 624 0 46788 47500 51136 44272 6864 1412 0 0 0 254572 655444 768988 17460 751488 
509144 16828 45148 338492 0 268364 164708 0 0 932 268 49448 47732 51192 44272 6920 1412 0 0 0 254572 658300 768988 17460 751488 
